Day,CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude
Tuesday,17091342,BURGLARY AUTO,BURGLARY - VEHICLE,100 SPINNAKER WAY,07/11/2017 12:00:00 AM 09:30,37.870287, -122.316238
Tuesday,17047834,DOMESTIC VIOLENCE,FAMILY OFFENSE,2700 MATHEWS ST,08/15/2017 12:00:00 AM 07:11,37.857776, -122.286576
Tuesday,17091557,IDENTITY THEFT,FRAUD,3000 TELEGRAPH AVE,08/08/2017 12:00:00 AM 09:24,37.855435, -122.259841
Tuesday,17091399,THEFT MISD. (UNDER $950),LARCENY,2300 CHANNING WAY,07/18/2017 12:00:00 AM 15:35,37.866327, -122.263359
Tuesday,17091028,THEFT MISD. (UNDER $950),LARCENY,1600 OXFORD ST,05/30/2017 12:00:00 AM 16:00,37.878552, -122.266844
Tuesday,17023075,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2000 ALLSTON WAY,04/25/2017 12:00:00 AM 07:51,37.869096, -122.270137
Tuesday,17091564,BURGLARY AUTO,BURGLARY - VEHICLE,900 HEINZ AVE,08/08/2017 12:00:00 AM 19:40,37.853552, -122.291561
Tuesday,17026144,NARCOTICS,DRUG VIOLATION,2500 HILLEGASS AVE,05/09/2017 12:00:00 AM 08:14,37.865149, -122.256487
Tuesday,17016410,IDENTITY THEFT,FRAUD,1600 CURTIS ST,03/14/2017 12:00:00 AM 16:00,37.875553, -122.290549
Tuesday,17033953,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2900 WHEELER ST,06/13/2017 12:00:00 AM 12:00,37.856877, -122.264826
Tuesday,17029326,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,05/23/2017 12:00:00 AM 23:00,37.871167, -122.268285
Tuesday,17026213,FRAUD/FORGERY,FRAUD,1800 FOURTH ST,05/09/2017 12:00:00 AM 14:38,37.869944, -122.300636
Tuesday,17090703,BURGLARY AUTO,BURGLARY - VEHICLE,1000 KEITH AVE,03/28/2017 12:00:00 AM 01:00,37.890366, -122.266998
Tuesday,17090863,THEFT MISD. (UNDER $950),LARCENY,2300 TELEGRAPH AVE,05/02/2017 12:00:00 AM 20:00,37.868714, -122.259189
Tuesday,17091141,THEFT MISD. (UNDER $950),LARCENY,700 HILLDALE AVE,06/13/2017 12:00:00 AM 14:45,37.898747, -122.266109
Tuesday,17090990,BURGLARY AUTO,BURGLARY - VEHICLE,2000 OREGON ST,05/23/2017 12:00:00 AM 17:10,37.857409, -122.268473
Tuesday,17033982,THEFT MISD. (UNDER $950),LARCENY,2000 UNIVERSITY AVE,06/13/2017 12:00:00 AM 17:53,37.871828, -122.270516
Tuesday,17030795,BURGLARY AUTO,BURGLARY - VEHICLE,1800 FOURTH ST,05/30/2017 12:00:00 AM 12:35,37.869944, -122.300636
Tuesday,17014387,MISSING ADULT,MISSING PERSON,1200 HEARST AVE,03/14/2017 12:00:00 AM 20:00,37.870911, -122.289684
Tuesday,17026560,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2000 NINTH ST,05/09/2017 12:00:00 AM 20:30,37.868591, -122.294393
Tuesday,17040092,NARCOTICS,DRUG VIOLATION,1300 ALCATRAZ AVE,07/11/2017 12:00:00 AM 07:36,37.847446, -122.281146
